id,Top_rated,name_movie,Year,Genres,Director,Writers,producers,Top_actors
35,35,Léon: The Professional,1994,"Action, Crime, Drama",Luc Besson,Luc Besson,Patrice Ledoux,"Jean Reno, Natalie Portman, Gary Oldman, Danny Aiello, Samy Naceri, Peter Appel, Michael Badalucco, Ellen Greene, Elizabeth Regen"
36,36,The Lion King,1994,"Adventure, Animation, Drama","Roger Allers, Rob Minkoff","Irene Mecchi, Jonathan Roberts, Linda Woolverton",Don Hahn,(Animation)
37,37,Gladiator,2000,"Action, Adventure, Drama",Ridley Scott,"David Franzoni, John Logan, William Nicholson","Douglas Wick, David Franzoni, Branko Lustig","Russell Crowe, Joaquin Phoenix, Connie Nielsen, Oliver Reed, Richard Harris, Ralf Moeller, Derek Jacobi, Djimon Hounsou, David Schofield, John Shrapnel, Spencer Treat Clark, Tomas Arana, David Hemmings, Tommy Flanagan, Sven-Ole Thorsen, Tony Curran, Giorgio Cantarini, Omid Djalili, Giannina Facio, Nicholas McGaughey, Chris Kell, John Quinn, Alun Raglan, David Bailie, Chick Allan, David Nicholls, Al Ashton, Billy Dowd, Ray Calleja, Allan Corduner, Michael Mellinger, Said Amel, Adam Levy, Gilly Gilchrist, Graham Mullins"
38,38,American History X,1998,"Crime, Drama",Tony Kaye,David McKenna,John Morrissey,"Edward Norton, Edward Furlong, Fairuza Balk, Stacy Keach, Elliott Gould, Avery Brooks, Beverly D´Angelo, Jennifer Lien, Guy Torry, Ethan Suplee, Keram Malicki-Sánchez"
39,39,The Departed,2006,"Crime, Drama, Thriller",Martin Scorsese,William Monahan,"Brad Pitt, Brad Grey, Gianni Nunnari, Graham King","Leonardo DiCaprio, Matt Damon, Jack Nicholson, Mark Wahlberg, Vera Farmiga, Alec Baldwin, Martin Sheen, Ray Winstone, Kevin Corrigan, James Badge Dale, David O´Hara, Anthony Anderson, Mark Rolston, Conor Donovan, Francesca Scorsese"
40,40,The Usual Suspects,1995,"Crime, Drama, Mystery",Bryan Singer,Christopher McQuarrie,"Bryan Singer, Michael McDonnell","Chazz Palminteri, Kevin Spacey, Gabriel Byrne, Benicio del Toro, Stephen Baldwin, Pete Postlethwaite, Giancarlo Esposito, Dan Hedaya, Suzy Amis, Frank Medrano, Ron Gilbert, Kevin Pollak, Paul Bartel, Carl Bressler, Christine Estabrook"
41,41,The Prestige,2006,"Drama, Mystery, Sci-Fi",Christopher Nolan,"Jonathan Nolan, Christopher Nolan","Emma Thomas, Aaron Ryder, Christopher Nolan","Hugh Jackman, Christian Bale, Michael Caine, Scarlett Johansson, David Bowie, Piper Perabo, Andy Serkis, Rebecca Hall, Ricky Jay, Ron Perkins, Samantha Mahurin, Daniel Davis, Jim Piddock, Christopher Neame, Mark Ryan, Roger Rees, Jamie Harris"
42,42,Whiplash,2014,"Drama, Music",Damien Chazelle,Damien Chazelle,"Jason Blum, Helen Estabrook, Michel Litvak, David Lancaster","Miles Teller, J.K. Simmons, Melissa Benoist, Paul Reiser, Austin Stowell, Jayson Blair, Kavita Patil, Kofi Siriboe, Jesse Mitchell, Michael D. Cohen, Tian Wang, Jocelyn Ayanna, Tarik Lowe, Marcus Henderson, Keenan Henson"
43,43,Casablanca,1942,"Drama, Romance, War",Michael Curtiz,"Julius J. Epstein, Philip G. Epstein, Howard Koch",Hal B. Wallis,"Humphrey Bogart, Ingrid Bergman, Paul Henreid, Claude Rains, Conrad Veidt, Sydney Greenstreet, Peter Lorre, S.Z. Sakall, Madeleine LeBeau, Dooley Wilson, Joy Page, John Qualen, Leonid Kinskey, Curt Bois, Ed Agresti, Marcel Dalio, Enrique Acosta, Louis V. Arco, Frank Arnold, Leon Belasco, Oliver Blake"
44,44,The Intouchables,2011,"Biography, Comedy, Drama","Olivier Nakache, Éric Toledano","Olivier Nakache, Éric Toledano","Nicolas Duval Adassovsky, Yann Zenou, Laurent Zeitoun","François Cluzet, Omar Sy, Anne Le Ny, Audrey Fleurot, Clotilde Mollet, Joséphine de Meaux, Alba Gaïa Bellugi, Cyril Mendy, Christian Ameri, Marie-Laure Descoureaux, Gregoire Oestermann"
45,45,Harakiri,1962,"Action, Drama, Mystery",Masaki Kobayashi,Shinobu Hashimoto,Tatsuo Hosoya,"Tatsuya Nakadai, Rentarô Mikuni, Akira Ishihama, Shima Iwashita, Tetsurô Tanba, Masao Mishima, Ichirô Nakatani, Kei Sato, Yoshio Inaba, Hisashi Igawa, Tôru Takeuchi, Yoshio Aoki, Tatsuo Matsumura, Akiji Kobayashi, Kôichi Hayashi, Ryutaro Gomi, Jo Azumi, Nakajirô Tomita, Shichisaburô Amatsu, Kenzô Tanaka, Shin Nakahara, Tsuneo Ikeda, Minoru Miyagi, Takaaki Kadota, Satoshi Nishida, Tetsurô Komiyama, Shûichirô Narita, Noboru Kasuga"
46,46,Grave of the Fireflies,1988,"Animation, Drama, War",Isao Takahata,Isao Takahata,Toru Hara,(Animation)
47,47,Modern Times,1936,"Comedy, Drama, Romance",Charles Chaplin,Charles Chaplin,Charles Chaplin,"Charles Chaplin, Paulette Goddard, Henry Bergman, Chester Conklin, Stanley Stanford, Hank Mann, Louis Natheaux, Allan Garcia"
48,48,Once Upon a Time in the West,1968,Western,Sergio Leone,"Sergio Donati, Sergio Leone",Fulvio Morsella,"Henry Fonda, Charles Bronson, Claudia Cardinale, Gabriele Ferzetti, Frank Wolff, Al Mulock, Jason Robards, Woody Strode, Jack Elam, Lionel Stander, Paolo Stoppa, Keenan Wynn, Aldo Sambrell, Robert Hossein"
49,49,Rear Window,1954,"Mystery, Thriller",Alfred Hitchcock,John Michael Hayes,Alfred Hitchcock,"James Stewart, Grace Kelly, Thelma Ritter, Raymond Burr, Judith Evelyn, Wendell Corey"
50,50,City Lights,1931,"Comedy, Drama, Romance",Charles Chaplin,Charles Chaplin,Charles Chaplin,"Charles Chaplin, Virginia Cherrill, Florence Lee, Harry Myers, Allan Garcia, Hank Mann, Jack Alexander, Tom Dempsey, Henry Bergman"
